Model,Accuracy,ROC_AUC
XGBoost,0.8416666666666667,0.8719512195121952
Gradient Boosting,0.8,0.8498074454428755
Logistic Regression,0.7833333333333333,0.8340821566110398
Random Forest,0.8166666666666667,0.8244544287548138
