Model_Name,Demographic_Parity_Diff,Disparate_Impact_Ratio,Equal_Opportunity_Diff
Logistic_Regression,0.020478383928075883,0.9761412129833182,0.004290640789157085
Random_Forest,0.03518508241300844,0.9584098661768565,0.010866950036089507
Gradient_Boosting,0.054664520783617276,0.9303098910428753,0.017764054856042932
XGBoost,0.015446658157130422,0.9810991896419032,0.012831822920843616
